genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
NPDC040948	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces spectabilis	Streptomyces spectabilis NPDC040948
NPDC040952	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseofuscus	Streptomyces griseofuscus NPDC040952
NPDC040956	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fradiae	Streptomyces fradiae NPDC040956
NPDC041068	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC041068
NPDC041117	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus NPDC041117
NPDC041187	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces curacoi	Streptomyces curacoi NPDC041187
NPDC041541	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae_C	Streptomyces lavendulae NPDC041541
NPDC042188	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseofuscus	Streptomyces griseofuscus NPDC042188
NPDC042207	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002803075	Streptomyces sp. NPDC042207
NPDC042317	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastaticus	Streptomyces diastaticus NPDC042317
NPDC042319	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC042319
NPDC042609	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albogriseolus	Streptomyces albogriseolus NPDC042609
NPDC042611	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp.	Kitasatospora sp. NPDC042611
NPDC042617	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces halstedii	Streptomyces halstedii NPDC042617
NPDC042623	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cirratus	Streptomyces cirratus NPDC042623
NPDC042638	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC042638
NPDC042898	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001426585	Streptomyces sp. NPDC042898
NPDC042900	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces misionensis	Streptomyces misionensis NPDC042900
NPDC043247	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC043247
NPDC043296	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces californicus	Streptomyces californicus NPDC043296
NPDC043298	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivaceoviridis	Streptomyces olivaceoviridis NPDC043298
NPDC043630	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fradiae	Streptomyces fradiae NPDC043630
NPDC043745	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC043745
NPDC043750	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC043750
NPDC044144	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus NPDC044144
NPDC044243	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus NPDC044243
NPDC044290	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces narbonensis	Streptomyces narbonensis NPDC044290
NPDC044427	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp900105755	Streptomyces sp. NPDC044427
NPDC044467	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces goshikiensis	Streptomyces goshikiensis NPDC044467
NPDC044774	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	Kitasatospora aureofaciens NPDC044774
NPDC044793	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus	Streptomyces hygroscopicus NPDC044793
NPDC044950	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tanashiensis	Streptomyces tanashiensis NPDC044950
NPDC044953	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens	Kitasatospora aureofaciens NPDC044953
NPDC044961	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xinghaiensis	Streptomyces xinghaiensis NPDC044961
NPDC044965	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violascens	Streptomyces violascens NPDC044965
NPDC044984	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp019049255	Streptomyces sp. NPDC044984
NPDC044989	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000772045	Streptomyces sp. NPDC044989
NPDC044998	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces flaveolus	Streptomyces flaveolus NPDC044998
NPDC045004	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC045004
NPDC045119	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces celluloflavus	Streptomyces celluloflavus NPDC045119
NPDC045142	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	Streptomyces rimosus NPDC045142
NPDC045161	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes NPDC045161
NPDC045187	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chrestomyceticus	Streptomyces chrestomyceticus NPDC045187
NPDC045190	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces kanamyceticus	Streptomyces kanamyceticus NPDC045190
NPDC045234	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chrestomyceticus	Streptomyces chrestomyceticus NPDC045234
NPDC045251	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001905385	Streptomyces sp. NPDC045251
NPDC045321	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC045321
NPDC045323	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp900091725	Streptomyces sp. NPDC045323
NPDC045451	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chrestomyceticus	Streptomyces chrestomyceticus NPDC045451
NPDC045456	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC045456
NPDC045597	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC045597
NPDC045604	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces syringium	Streptomyces syringium NPDC045604
NPDC045632	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NPDC045632
