genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
GCA_035658475.1_ASM3565847v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceus	Streptomyces sp. CGMCC 4.1772
GCA_035687565.1_ASM3568756v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026339995	Streptomyces sp. SMAG_U8952
GCA_035798155.1_ASM3579815v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces endophyticus YIM65594
GCA_035825295.1_ASM3582529v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Actinacidiphila	Actinacidiphila sp.	Actinacidiphila sp. DG2A-62
GCA_035828615.1_ASM3582861v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. H27-D2
GCA_035853655.1_ASM3585365v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces virginiae	Streptomyces virginiae CMAA1738
GCA_035917115.1_ASM3591711v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces longwoodensis	Streptomyces longwoodensis NBC_00540
GCA_035917135.1_ASM3591713v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_00481
GCA_035917155.1_ASM3591715v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces poriferorum	Streptomyces sp. NBC_00385
GCA_035917175.1_ASM3591717v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026341825	Streptomyces sp. NBC_00243
GCA_035917195.1_ASM3591719v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes NBC_00186
GCA_035917215.1_ASM3591721v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_00151
GCA_035917235.1_ASM3591723v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01294
GCA_035917255.1_ASM3591725v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342195	Streptomyces sp. NBC_01257
GCA_035917275.1_ASM3591727v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001905125	Streptomyces sp. NBC_01237
GCA_035917295.1_ASM3591729v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01022
GCA_035917315.1_ASM3591731v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026339735	Streptomyces sp. NBC_00841
GCA_035917395.1_ASM3591739v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002847285	Streptomyces sp. NBC_01808
GCA_035917415.1_ASM3591741v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01803
GCA_035917435.1_ASM3591743v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces microflavus	Streptomyces microflavus NBC 01798
GCA_035917495.1_ASM3591749v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01800
GCA_035917515.1_ASM3591751v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01799
GCA_035917535.1_ASM3591753v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01795
GCA_035917555.1_ASM3591755v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cyaneofuscatus	Streptomyces cyaneofuscatus NBC 01792
GCA_035917575.1_ASM3591757v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002803075	Streptomyces sp. NBC_01788
GCA_035917595.1_ASM3591759v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scopuliridis	Streptomyces scopuliridis NBC 01786
GCA_035917615.1_ASM3591761v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces cellulosae NBC 01780
GCA_035917635.1_ASM3591763v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces cellulosae NBC 01779
GCA_035917655.1_ASM3591765v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces anthocyanicus NBC 01777
GCA_035917675.1_ASM3591767v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01775
GCA_035917695.1_ASM3591769v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces decoyicus	Streptomyces decoyicus NBC 01774
GCA_035917715.1_ASM3591771v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces cellulosae NBC 01773
GCA_035917735.1_ASM3591773v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces cellulosae NBC 01772
GCA_035917755.1_ASM3591775v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scopuliridis	Streptomyces scopuliridis NBC 01771
GCA_035917775.1_ASM3591777v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scopuliridis	Streptomyces scopuliridis NBC 01770
GCA_035917795.1_ASM3591779v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces brevispora	Streptomyces brevispora NBC 01769
GCA_035917815.1_ASM3591781v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp940670765	Streptomyces sp. NBC_01766
GCA_035917835.1_ASM3591783v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp003846175	Streptomyces sp. NBC_01768
GCA_035917855.1_ASM3591785v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01763
GCA_035917875.1_ASM3591787v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01762
GCA_035917895.1_ASM3591789v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01761
GCA_035917915.1_ASM3591791v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anulatus	Streptomyces anulatus NBC 01759
GCA_035917935.1_ASM3591793v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000719575	Streptomyces sp. NBC_01760
GCA_035917955.1_ASM3591795v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces virginiae_A	Streptomyces virginiae NBC 01758
GCA_035918015.1_ASM3591801v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01754
GCA_035918035.1_ASM3591803v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces hirsutus	Streptomyces hirsutus NBC 01753
GCA_035918055.1_ASM3591805v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces phaeochromogenes	Streptomyces phaeochromogenes NBC 01752
GCA_035918075.1_ASM3591807v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp026342835	Streptomyces sp. NBC_01751
GCA_035918095.1_ASM3591809v1_genomic	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp.	Streptomyces sp. NBC_01750
