genome	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism
GCA_000009765.2_ASM976v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	Streptomyces avermitilis MA-4680 = NBRC 14893 MA-4680
GCA_000010605.1_ASM1060v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	Streptomyces griseus subsp. griseus NBRC 13350
GCA_000091305.1_ASM9130v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei	Streptomyces scabiei 87.22 87.22
GCA_000092385.1_ASM9238v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces milbemycinicus	Streptomyces bingchenggensis BCW-1 BCW-1
GCA_000147815.3_ASM14781v3_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceusniger_A	Streptomyces violaceusniger Tu 4113 Tu 4113
GCA_000148465.1_Scla_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Streptomyces clavuligerus ATCC 27064
GCA_000154885.1_ASM15488v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces goshikiensis	Streptomyces sp. Mg1
GCA_000154905.1_ASM15490v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000154905	Streptomyces sp. SPB074
GCA_000154945.1_ASM15494v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces pristinaespiralis	Streptomyces pristinaespiralis ATCC 25486 ATCC 25486
GCA_000154965.1_ASM15496v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sviceus	Streptomyces sviceus ATCC 29083 ATCC 29083
GCA_000156435.1_ASM15643v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridosporus	Streptomyces viridosporus ATCC 14672 ATCC 14672
GCA_000156455.1_ASM15645v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces filamentosus NRRL 15998 NRRL 15998
GCA_000156475.1_ASM15647v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus J1074
GCA_000156695.2_ASM15669v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces filamentosus NRRL 11379 NRRL 11379
GCA_000158855.1_ASM15885v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SPB78
GCA_000158895.1_ASM15889v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000158895	Streptomyces sp. C
GCA_000158915.1_ASM15891v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces himastatinicus	Streptomyces himastatinicus ATCC 53653 ATCC 53653
GCA_000158935.1_ASM15893v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces lividans TK24 TK24
GCA_000158955.1_ASM15895v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes_B	Streptomyces viridochromogenes DSM 40736 DSM 40736
GCA_000158975.1_ASM15897v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces fungicidicus	Streptomyces griseoflavus Tu4000 Tu4000
GCA_000162775.1_ASM16277v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sennicomposti	Streptomyces sp. e14
GCA_000163875.1_Strep_clav_ATCC27064_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	Streptomyces clavuligerus ATCC 27064
GCA_000177175.2_ASM17717v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	Streptomyces sp. ACT-1
GCA_000177195.2_ASM17719v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000177195	Streptomyces sp. SirexAA-E
GCA_000179195.1_ASM17919v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SA3_actG
GCA_000179215.1_ASM17921v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000213055	Streptomyces sp. SA3_actF
GCA_000203835.1_ASM20383v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces coelicolor A3(2) -
GCA_000204605.2_ASM20460v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseoaurantiacus	Streptomyces griseoaurantiacus M045 M045
GCA_000220705.2_ASM22070v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xinghaiensis	Streptomyces xinghaiensis S187 S187
GCA_000225525.2_ASM22552v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces zinciresistens	Streptomyces zinciresistens K42 K42
GCA_000226415.1_ASM22641v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces erythrochromogenes_A	Streptomyces lysosuperificus ATCC 31396 ATCC 31396
GCA_000226455.1_ASM22645v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces chartreusis_D	Streptomyces chartreusis NRRL 12338 NRRL 12338
GCA_000237305.1_ASM23730v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488 NRRL 8057
GCA_000239075.2_ASM23907v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anulatus	Streptomyces sp. W007
GCA_000240165.1_ASM24016v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cattleya	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488 DSM 46488
GCA_000242715.2_ASM24271v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces acidiscabies	Streptomyces acidiscabies 84-104 84-104
GCA_000245355.1_ASM24535v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivaceoviridis	Streptomyces hygroscopicus subsp. jinggangensis 5008
GCA_000253235.1_ASM25323v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces venezuelae	Streptomyces venezuelae ATCC 10712 ATCC 10712
GCA_000259895.1_ASM25989v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rochei	Streptomyces sp. TOR3209
GCA_000261345.2_ASM26134v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rubiginosohelvolus	Streptomyces globisporus C-1027 C-1027
GCA_000262345.1_Streptomyces_sulphureus_L180_version_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xiaopingdaonensis	Streptomyces xiaopingdaonensis DUT 180
GCA_000269985.1_ASM26998v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora setae	Kitasatospora setae KM-6054 KM-6054
GCA_000280865.2_ASM28086v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sioyaensis	Streptomyces auratus AGR0001 AGR0001
GCA_000280905.1_ASM28090v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000280905	Streptomyces sp. AA1529
GCA_000297155.3_ASM29715v3_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces tsukubensis	Streptomyces tsukubensis NRRL18488 NRRL18488
GCA_000297635.1_ASM29763v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces harbinensis	Streptomyces sp. AA0539
GCA_000299175.2_ASM29917v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces sp. SM8
GCA_000302615.1_ASM30261v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces wedmorensis	Streptomyces sp. SS
GCA_000316095.1_ASM31609v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridosporus	Streptomyces viridosporus T7A T7A
GCA_000317595.1_Sipom9103v1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces ipomoeae	Streptomyces ipomoeae 91-03 91-03
GCA_000331005.1_Sturgcar8v1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces turgidiscabies	Streptomyces turgidiscabies Car8 Car8
GCA_000331185.2_ASM33118v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	Streptomyces rimosus subsp. rimosus ATCC 10970
GCA_000332625.1_STVIR_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces curacoi	Streptomyces viridochromogenes Tue57 Tue57
GCA_000340335.2_ASM34033v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces bottropensis	Streptomyces bottropensis ATCC 25435 ATCC 25435
GCA_000340845.1_ASM34084v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivaceoviridis	Streptomyces hygroscopicus subsp. jinggangensis TL01
GCA_000342125.1_S.mobaraensisn_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces mobaraensis	Streptomyces mobaraensis NBRC 13819 = DSM 40847 DSM 40847
GCA_000342345.1_Whole_genome_assembly_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces pseudogriseolus	Streptomyces gancidicus BKS 13-15 BKS 13-15
GCA_000349325.1_ASM34932v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces davaonensis	Streptomyces davaonensis JCM 4913 JCM 4913
GCA_000359525.1_ASM35952v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces albidoflavus J1074
GCA_000364805.1_ASM36480v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces papulosus	Streptomyces sp. PAMC 26508
GCA_000367365.1_ASM36736v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces prunicolor	Streptomyces prunicolor NBRC 13075 NBRC 13075
GCA_000372745.1_ASM37274v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Embleya	Embleya scabrispora	Embleya scabrispora DSM 41855 DSM 41855
GCA_000373225.1_ASM37322v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces sp. LaPpAH-202
GCA_000373305.1_ASM37330v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces bacillaris	Streptomyces sp. CcalMP-8W
GCA_000373405.1_ASM37340v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cyaneofuscatus	Streptomyces sp. ScaeMP-e10
GCA_000373465.1_ASM37346v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces sp. FxanaD5
GCA_000373525.1_ASM37352v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001905735	Streptomyces sp. LaPpAH-165
GCA_000373565.1_ASM37356v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000373565	Streptomyces sp. HmicA12
GCA_000373585.1_ASM37358v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000373585	Streptomyces sp. MspMP-M5
GCA_000373625.1_ASM37362v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000373625	Streptomyces sp. LaPpAH-108
GCA_000373645.1_ASM37364v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000373645	Streptomyces sp. ATexAB-D23
GCA_000373665.1_ASM37366v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces glauciniger	Streptomyces sp. BoleA5
GCA_000373685.1_ASM37368v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001654495	Streptomyces sp. PsTaAH-124
GCA_000375625.1_ASM37562v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces libani	Streptomyces sp. FxanaC1
GCA_000375725.1_ASM37572v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001905735	Streptomyces sp. LaPpAH-95
GCA_000376565.1_ASM37656v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces hokutonensis	Streptomyces hokutonensis R1-NS-10
GCA_000380165.1_ASM38016v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces_A	Streptomyces_A vitaminophilus	Wenjunlia vitaminophila DSM 41686 DSM 41686
GCA_000381025.1_ASM38102v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sulphureus	Streptomyces sulphureus DSM 40104 DSM 40104
GCA_000382745.1_ASM38274v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000177195	Streptomyces sp. DvalAA-83
GCA_000383595.1_ASM38359v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces bottropensis	Streptomyces bottropensis ATCC 25435 ATCC 25435
GCA_000383615.1_ASM38361v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces canus_C	Streptomyces canus 299MFChir4.1 299MFChir4.1
GCA_000383635.1_ASM38363v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001298545	Streptomyces sp. 303MFCol5.2
GCA_000383655.1_ASM38365v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseorubiginosus	Streptomyces sp. 351MFTsu5.1
GCA_000383935.1_ASM38393v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sennicomposti	Streptomyces sp. Amel2xE9
GCA_000384175.1_ASM38417v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces purpureus	Streptomyces purpureus KA281 KA281
GCA_000385945.1_ASM38594v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces microflavus	Streptomyces microflavus DSM 40593 DSM 40593
GCA_000403665.1_Streptomyces_lividans_1326_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces anthocyanicus	Streptomyces lividans 1326 1326
GCA_000403765.2_SAlb2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albulus_C	Streptomyces noursei CCRC 11814 CCRC 11814
GCA_000404005.1_Streptomyces_sp._FXJ7.023_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivaceus	Streptomyces sp. FXJ7.023
GCA_000411495.1_Stre_sp_HPH0547_V1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albus	Streptomyces sp. HPH0547
GCA_000412265.2_ASM41226v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces goshikiensis	Streptomyces sp. Mg1
GCA_000414115.1_STRAU_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces aurantiacus_A	Streptomyces aurantiacus JA 4570 JA 4570
GCA_000415505.1_STAFG_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces afghaniensis	Streptomyces afghaniensis 772 772
GCA_000418455.1_ASM41845v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rapamycinicus	Streptomyces rapamycinicus NRRL 5491 NRRL 5491
GCA_000424945.1_ASM42494v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp002300165	Streptomyces sp. 142MFCol3.1
GCA_000429085.1_ASM42908v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces flavidovirens	Streptomyces flavidovirens DSM 40150 DSM 40150
GCA_000444875.1_ASM44487v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces collinus_A	Streptomyces collinus Tu 365 Tu 365
GCA_000470535.1_STREPTOMYCES1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000470535	Streptomyces sp. AW19M42
GCA_000478605.2_ASM47860v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces thermolilacinus	Streptomyces thermolilacinus SPC6 SPC6
GCA_000495635.2_GB94_v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces sp. GBA 94-10 4N24
GCA_000495755.1_PVA94-07.23_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albidoflavus	Streptomyces sp. PVA_94-07
GCA_000497405.1_v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000497405	Streptomycetaceae bacterium MP113-05 MP113-05
GCA_000497425.1_S.niveus_v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces niveus	Streptomyces niveus NCIMB 11891 NCIMB 11891
GCA_000497445.1_S.roseochromogenes_v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces roseochromogenus	Streptomyces roseochromogenus subsp. oscitans DS 12.976
GCA_000498935.1_HCCB10043_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces sp. HCCB10043
GCA_000504065.2_Velvet_for_version_02_of_Streptomyces_albulus_PD-1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albulus_C	Streptomyces noursei PD-1 PD-1
GCA_000514715.1_ASM51471v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp000514715	Streptomyces sp. CNH099
GCA_000518045.1_StrExf1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001426585	Streptomyces exfoliatus DSM 41693 DSM 41693
GCA_000590515.1_Streptomyces_sp._PRh5_version1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces asiaticus	Streptomyces sp. PRh5
GCA_000611795.1_Tu61761.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001654495	Streptomyces sp. Tu 6176
GCA_000647875.1_ASM64787v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces bacillaris	Streptomyces sp. SolWspMP-sol2th
GCA_000686765.1_ASM68676v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cellulosae	Streptomyces sp. UNC401CLCol
GCA_000695235.1_ASM69523v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albulus_C	Streptomyces noursei NK660
GCA_000696185.1_ASM69618v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora cheerisanensis	Kitasatospora cheerisanensis KCTC 2395 KCTC 2395
GCA_000696595.1_StrepLeeu1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces leeuwenhoekii	Streptomyces leeuwenhoekii C34
GCA_000698495.1_NTK937_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces halstedii	Streptomyces sp. NTK 937
GCA_000700005.2_ASM70000v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xinghaiensis	Streptomyces xinghaiensis ATCC 19609
GCA_000702365.1_ASM70236v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces parvus	Streptomyces sp. CNS654
GCA_000707925.2_ASM70792v2_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	Streptomyces rimosus R6-500 R6-500
GCA_000707945.1_mv9-51_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	Streptomyces rimosus R6-500MV9
GCA_000707965.1_rev-51_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus	Streptomyces rimosus R6-500MV9-R8
GCA_000709915.1_JSD_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces althioticus	Streptomyces griseorubens JSD-1
GCA_000710405.2_KspMBT66_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora purpeofusca	Kitasatospora sp. MBT66
GCA_000710465.2_KspMBT63_1.0_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp000710465	Kitasatospora sp. MBT63
GCA_000715605.1_ASM71560v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces speibonae	Streptomyces speibonae NRRL B-24240
GCA_000715615.1_ASM71561v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces cinnabarinus	Streptomyces cinnabarinus NRRL B-12382
GCA_000715625.1_ASM71562v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces nojiriensis	Streptomyces lavendulae Fujisawa #8006
GCA_000715635.1_ASM71563v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceus	Streptomyces violaceus NRRL B-2867
GCA_000715685.1_ASM71568v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lilacinus	Streptomyces lilacinus NRRL B-1968
GCA_000715705.1_ASM71570v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp001941845	Streptomyces flavotricini NRRL B-5419
GCA_000715715.1_ASM71571v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces californicus	Streptomyces californicus NRRL B-1221
GCA_000715745.1_ASM71574v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces californicus	Streptomyces californicus NRRL B-3320
GCA_000715765.1_ASM71576v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces natalensis	Streptomyces natalensis NRRL B-5314
GCA_000715775.1_ASM71577v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces decoyicus	Streptomyces decoyicus NRRL ISP-5087
GCA_000715845.1_ASM71584v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces monomycini	Streptomyces monomycini NRRL B-24309
GCA_000716015.1_ASM71601v1_genomic	Bacteria	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora novaecaesareae	Streptomyces pyridomyceticus NRRL B-2517
